Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Audience,Attendance
Recreation,Council Member Gibson,08/17/2018 08:00:00 PM,Bronx,Park,Joyce Kilmer Park,Movies Under The Stars: Avenger's: Infinity War's,Community Based Event,Mobile Unit,Movies,General Public,0.0
Recreation,sin información,07/24/2018 08:00:00 AM,Bronx,Park,Van Cortlandt Park,Harmony Day,Agency Produced Event,Mobile Unit,sin información,Children;#General Public,300.0
Recreation,sin información,08/17/2018 08:00:00 PM,Bronx,Park,Ferry Point Park,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,0.0
Recreation,sin información,08/16/2018 08:00:00 PM,Bronx,Other,Frank Frisch Field,Movies Under The Stars: A Dog's Purpose,Community Based Event,Mobile Unit,Movies,General Public,64.0
Recreation,sin información,08/16/2018 06:00:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,AC&F Paint Night,Community Based Event,Arts/Culture,AC&F,General Public,21.0
Recreation,sin información,08/16/2018 06:00:00 PM,Manhattan,Playground,Samuel Seabury Playground,Movies Under the Stars - The Fantastic Mr. Fox,Community Based Event,Mobile Unit,Movies,General Public,125.0
Recreation,sin información,08/15/2018 06:00:00 PM,Manhattan,Playground,James Weldon Johnson Playground,Movies Under the Stars - Nutty by Nature,Community Based Event,Mobile Unit,Movies,General Public,86.0
Recreation,sin información,08/14/2018 06:00:00 PM,Manhattan,Playground,Henry M. Jackson Playground,Movies Under the Stars - Gremlins,Community Based Event,Mobile Unit,Movies,General Public,61.0
Recreation,sin información,08/10/2018 06:00:00 PM,Manhattan,Recreation Center,Hansborough Recreation Center,Movies Under the Stars - Malcom X,Community Based Event,Mobile Unit,Movies,General Public,55.0
Recreation,sin información,08/10/2018 06:00:00 AM,Manhattan,Playground,Twenty Four Sycamores Playground,Movies Under the Stars - Peter Rabbit,Community Based Event,Mobile Unit,Movies,General Public,99.0
Recreation,sin información,08/10/2018 04:00:00 AM,Manhattan,Park,Ruppert Park,Concert: The Blue Dahlia,Community Based Event,Arts/Culture,Music,General Public,216.0
Recreation,sin información,08/09/2018 06:00:00 PM,Manhattan,Playground,Matthew P. Sapolin Playground,Movies Under the Stars - Isle of Dogs,Community Based Event,Mobile Unit,Movies,General Public,315.0
Recreation,Arts Student League,08/16/2018 06:00:00 PM,Manhattan,Recreation Center,Rooftop,Make Your Mark - Rooftop Painting,Community Based Event,Arts/Culture,AC&F,Young Adult;#Adults;#Adaptive;#Seniors;#General Public,21.0
Recreation,sin información,08/15/2018 08:00:00 PM,Bronx,Park,Barretto Point Park,Movies Under The Stars: Pirates Of The Caribbean: Dead Men Tell No Tales,Community Based Event,Mobile Unit,Movies,General Public,31.0
Recreation,sin información,08/15/2018 08:30:00 PM,Queens,Park,Juniper Valley Park,"Movies Under the Stars ""The Incredibles""",Community Based Event,Mobile Unit,Movies,General Public,193.0
Recreation,sin información,10/06/2017 06:00:00 PM,Bronx,Park,Virginia Park,"Arts, Culture & Fun: Chess Night at Virginia Park",Local Event,Arts/Culture,AC&F,General Public,25.0
Recreation,sin información,10/13/2017 06:00:00 PM,Bronx,Park,Virginia Park,"Art, Culture & Fun: Photo Night at Virginia Park",Local Event,Arts/Culture,AC&F,General Public,25.0
Recreation,sin información,10/20/2017 06:00:00 PM,Bronx,Park,Virginia Park,"Art, Culture & Fun: Drum Circle",Local Event,Arts/Culture,AC&F,General Public,20.0
Recreation,sin información,10/27/2017 06:00:00 PM,Bronx,Park,Virginia Park,"Art, Culture & Fun: Dia de los Muertos Celebration at Virginia park",Local Event,Arts/Culture,AC&F,General Public,100.0
Recreation,sin información,10/22/2017 06:00:00 PM,Bronx,Park,Concrete Plant Park,"Art, Culture & Fun: Community Art Day at Concrete Plant Park",Local Event,Arts/Culture,AC&F,Teens;#Young Adult;#Adults;#Seniors,30.0
Recreation,PfP and Coalicion Mexicana,10/28/2017 06:00:00 PM,Bronx,Recreation Center,St. Mary's Recreation Center,"Art, Culture & Fun: Dia de los Muertos at St. Mary's Park",Local Event,Arts/Culture,AC&F,General Public,350.0
Recreation,sin información,11/04/2017 07:00:00 PM,Bronx,Recreation Center,St. James Recreation Center,"Art, Culture & Fun: Quilting Memories Exhibition",Local Event,Arts/Culture,AC&F,General Public,17.0
Recreation,sin información,11/04/2017 06:00:00 PM,Bronx,Recreation Center,St. James Recreation Center,"Art, Culture & Fun: Quilting Memories Workshop",Local Event,Arts/Culture,AC&F,Seniors;#Adults;#Young Adult,120.0
Recreation,sin información,10/21/2017 10:00:00 AM,Staten Island,Playground,Cedar Grove Playground,Pooch Parade,Local Event,Performance,Play,General Public,40.0
Recreation,sin información,10/17/2017 10:00:00 AM,Staten Island,Recreation Center,Greenbelt Recreation Center,Bea Victor Senoir Olympics,Tournament/Competition,Sport,Tier 3,Seniors,125.0
Recreation,Council Member Salamanca,08/13/2018 08:00:00 PM,Bronx,Playground,Playground 52 LII,Movies Under The Stars: Coco,Community Based Event,Mobile Unit,Movies,General Public,0.0
Recreation,sin información,08/11/2018 08:00:00 PM,Bronx,Park,Soundview Park,Movies Under The Stars: Star Wars: The Last Jedi,Community Based Event,Mobile Unit,Movies,General Public,0.0
Recreation,sin información,08/11/2017 12:00:00 AM,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,"Arts, Culture & Fun Movie Fest at WBO",Local Event,Arts/Culture,AC&F,General Public,55.0
Recreation,sin información,04/14/2017 12:00:00 PM,Brooklyn,Recreation Center,McCarren Play Center,Tots Easter Egg Hunt,Local Event,Fitness,Play,Tot;#Children,78.0
Recreation,sin información,08/01/2017 12:00:00 PM,Brooklyn,Recreation Center,Sunset Park Recreation Center,Cops & Kids basketball classic,Local Event,Sport,Tier 1,Teens;#Young Adult;#Adults,24.0
Recreation,sin información,07/15/2017 06:00:00 PM,Bronx,Park,Starlight Park,AC&F Make your mark watercolor workshop,Local Event,Arts/Culture,AC&F,General Public,20.0
Recreation,sin información,07/15/2017 07:00:00 PM,Bronx,Park,Starlight Park,AC&F Concert for the Bronx River Alliance Flotilla event,Local Event,Arts/Culture,AC&F,General Public,100.0
Recreation,sin información,07/22/2017 06:00:00 PM,Bronx,Park,Pelham Bay Park,AC&F Taikoza drummers performance,Local Event,Arts/Culture,AC&F,General Public,120.0
Recreation,Harlem Dance Club,06/23/2018 01:30:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Harlem Dance: Afro Dance,Community Based Event,Arts/Culture,Dance,General Public,65.0
Recreation,sin información,06/23/2018 10:00:00 AM,Manhattan,Playground,Asser Levy Playground,Family Field and Game Day,Community Based Event,Family Festival,sin información,General Public,90.0
Recreation,sin información,06/21/2018 11:00:00 AM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Members Appreciation,Community Based Event,Family Festival,sin información,General Public,25.0
Recreation,sin información,06/21/2018 06:00:00 PM,Manhattan,Playground,Vesuvio Playground,Movies Under the Stars,Community Based Event,Mobile Unit,Movies,General Public,52.0
Recreation,Harlem Dance Club,06/16/2018 01:30:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Harlem Dance: Samba-Afro-Brazilian,Community Based Event,Arts/Culture,Dance,General Public,70.0
Recreation,Jazz Foundation,06/14/2018 06:30:00 PM,Manhattan,Park,Jackie Robinson Park,Jazz Concert - R&B,Community Based Event,Arts/Culture,Music,General Public,100.0
Recreation,Jazz Foundation,06/06/2018 06:00:00 PM,Manhattan,Recreation Center,J. Hood Wright Recreation Center,AC&F Jazz Concert,Community Based Event,Arts/Culture,AC&F,General Public,220.0
Recreation,Harlem Dance Club,06/09/2018 01:30:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Harlem Dance: Dancehall,Community Based Event,Arts/Culture,Dance,General Public,150.0
Recreation,sin información,06/06/2018 12:00:00 AM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Puppet Mobile,Community Based Event,Mobile Unit,sin información,Tot;#Children,150.0
Recreation,City Stompers,06/02/2018 12:00:00 AM,Manhattan,Playground,Asser Levy Playground,sin información,Community Based Event,Fitness,sin información,General Public,83.0
Recreation,Harlem Dance Club,06/02/2018 02:00:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Harlem Dance: Hip Hop,Community Based Event,Arts/Culture,Dance,General Public,45.0
Recreation,sin información,06/02/2018 11:00:00 AM,Manhattan,Recreation Center,Recreation Center 54,Green Thumb,Community Based Event,Academic/Out of School time,sin información,General Public,40.0
Recreation,sin información,06/01/2018 04:00:00 PM,Manhattan,Recreation Center,J. Hood Wright Recreation Center,Summer Danceathon,Community Based Event,Fitness,Dance,General Public,35.0
Recreation,sin información,08/12/2018 08:00:00 PM,Brooklyn,Playground,Homecrest Playground,"Movies Under the Stars "" Mulan 2""",Community Based Event,Mobile Unit,Movies,General Public,200.0
Recreation,RecYouth,06/01/2018 03:00:00 PM,Manhattan,Recreation Center,Recreation Center 54,RecYouth Event,Community Based Event,Fitness,sin información,Children;#Teens,96.0
Recreation,sin información,06/01/2018 10:00:00 AM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Block Party at the Pelham,Community Based Event,Family Festival,sin información,General Public,150.0
Recreation,sin información,05/31/2018 06:00:00 PM,Manhattan,Park,St. Vartan Park,Movies Under the Stars - Coco,Community Based Event,Mobile Unit,Movies,General Public,35.0
Recreation,sin información,05/30/2018 06:00:00 PM,Manhattan,Recreation Center,Gertrude Ederle Recreation Center,Art Inspired by Alma Thomas,Community Based Event,Arts/Culture,sin información,General Public,22.0
Recreation,sin información,05/29/2018 11:00:00 AM,Manhattan,Park,Jackie Robinson Park,Puppet Mobile,Community Based Event,Performance,Play,Tot;#Children,175.0
Recreation,KEEN/Author,05/23/2018 06:00:00 PM,Manhattan,Playground,Happy Warrior Playground,Movies Under the Stars - Wonder,Community Based Event,Mobile Unit,Movies,General Public,100.0
Recreation,Harlem Dance Club,05/19/2018 01:30:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,"Harlem Dance: Vogue, Pop, Dip, and Spin",Community Based Event,Arts/Culture,Dance,General Public,45.0
Recreation,sin información,05/18/2018 12:00:00 AM,Manhattan,Park,J. Hood Wright Park,Line Dance for Fitness and Fun,Community Based Event,Fitness,sin información,General Public,20.0
Recreation,sin información,05/18/2018 06:30:00 AM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Karaoke,Community Based Event,Arts/Culture,Music,General Public,27.0
Recreation,Jazz Foundation,05/17/2018 01:00:00 PM,Manhattan,Recreation Center,Hansborough Recreation Center,AC&F Jazz Concert,Community Based Event,Arts/Culture,AC&F,General Public,35.0
Recreation,Harlem Dance Club,05/12/2018 01:30:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Harlem Dance: The Loft Practice,Community Based Event,Fitness,Dance,General Public,20.0
Recreation,sin información,05/12/2018 12:00:00 AM,Manhattan,Park,J. Hood Wright Park,Tea and Paint: Mother's Day Painting Tea Party,Community Based Event,Family Festival,sin información,Teens;#Tot;#Children;#Adults;#Young Adult,20.0
Recreation,sin información,05/11/2018 06:00:00 AM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,"Focus Up, A Conversation with Our Youth",Community Based Event,Academic/Out of School time,Lecture/Panel/Talk,Teens;#Young Adult;#Children,20.0
Recreation,sin información,05/11/2018 12:00:00 AM,Manhattan,Recreation Center,Asser Levy Recreation Center,Mother's Day Fear Factor,Community Based Event,Family Festival,sin información,Adults;#Children;#Teens;#General Public,16.0
Recreation,Jazz Foundation,05/10/2018 01:00:00 PM,Manhattan,Recreation Center,Hansborough Recreation Center,AC&F Jazz Concert,Community Based Event,Arts/Culture,AC&F,General Public,45.0
Recreation,sin información,05/09/2018 06:00:00 AM,Manhattan,Recreation Center,Hamilton Fish Recreation Center,Mother's Tea and Spa Day,Community Based Event,Arts/Culture,sin información,Adults;#Seniors;#Adaptive,30.0
Recreation,Harlem Dance Club,05/05/2018 02:00:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Harlem Dance: Capoeira,Community Based Event,Fitness,Dance,General Public,30.0
Recreation,Jazz Foundation,05/03/2018 03:00:00 PM,Manhattan,Recreation Center,Hansborough Recreation Center,AC&F Jazz Concert,Community Based Event,Arts/Culture,AC&F,General Public,60.0
Recreation,Jazz Foundation,05/26/2018 01:00:00 PM,Manhattan,Recreation Center,Hansborough Recreation Center,AC&F Jazz Concert,Community Based Event,Arts/Culture,sin información,General Public,66.0
Recreation,sin información,04/28/2018 11:00:00 AM,Manhattan,Park,Thomas Jefferson Park,Street Games,Community Based Event,Fitness,sin información,General Public,0.0
Recreation,sin información,04/27/2018 06:00:00 AM,Manhattan,Recreation Center,Gertrude Ederle Recreation Center,Art Inspired by Kara Walker,Community Based Event,Arts/Culture,sin información,General Public,36.0
Recreation,sin información,04/24/2018 03:00:00 PM,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,Earth Day: Recycling,Community Based Event,Academic/Out of School time,sin información,General Public,15.0
Recreation,PEP,04/22/2018 11:00:00 AM,Manhattan,Recreation Center,Gertrude Ederle Recreation Center,Earth Day Event,Community Based Event,Academic/Out of School time,sin información,General Public,210.0
Recreation,sin información,04/21/2018 09:30:00 AM,Manhattan,Recreation Center,Recreation Center 54,Back to Nature: Recycle Repurpose and Reuse,Community Based Event,Academic/Out of School time,sin información,General Public,25.0
Recreation,sin información,04/21/2018 09:00:00 AM,Manhattan,Other,"Broadway, Times Square, Union Square",Car Free Earth Day,Community Based Event,Academic/Out of School time,sin información,General Public,0.0
Recreation,Jazz Foundation,04/21/2018 10:00:00 AM,Manhattan,Park,Ruppert Park,Jazz Concert,Community Based Event,Arts/Culture,Music,General Public,35.0
Recreation,sin información,04/20/2018 04:00:00 AM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Earth Day - Park Walkthrough,Community Based Event,Fitness,Fitness,General Public,40.0
Recreation,The Public Theatre,04/20/2018 06:30:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Henry V,Community Based Event,Arts/Culture,Play,General Public,94.0
Recreation,Jazz Foundation,04/18/2018 01:00:00 PM,Manhattan,Recreation Center,Hansborough Recreation Center,AC&F Jazz Concert,Community Based Event,Arts/Culture,AC&F,General Public,33.0
Recreation,PEP,04/18/2018 07:00:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Astronomy Stargazing and Talk,Community Based Event,Academic/Out of School time,Lecture/Panel/Talk,General Public,35.0
Recreation,sin información,04/13/2018 04:00:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,Neon Glow Fitness Challenge,Community Based Event,Fitness,Fitness,General Public,70.0
Recreation,sin información,04/12/2018 06:00:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,"Tea Social at ""The Pelham""",Community Based Event,Arts/Culture,Lecture/Panel/Talk,Adults;#Seniors;#Adaptive,30.0
Recreation,Jazz Foundation,04/12/2018 01:00:00 PM,Manhattan,Recreation Center,Hansborough Recreation Center,AC&F Jazz Concert,Community Based Event,Arts/Culture,AC&F,General Public,30.0
Recreation,Jazz Foundation,04/05/2018 12:00:00 AM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,AC&F Jazz Concert,Community Based Event,Arts/Culture,AC&F,General Public,45.0
Recreation,NYU,04/04/2018 02:00:00 PM,Manhattan,Park,Washington Square Park,Salsa in the Park with NYU,Community Based Event,Arts/Culture,Dance,Seniors;#Adults,125.0
Recreation,sin información,05/26/2017 09:00:00 AM,Bronx,Recreation Center,St. James Recreation Center,Orchard Beach Grand Opening,Local Event,Fitness,sin información,Adults;#Seniors,9.0
Recreation,sin información,05/12/2017 10:00:00 AM,Brooklyn,Recreation Center,McCarren Play Center,Mothers day event,Local Event,Arts/Culture,sin información,Tot,67.0
Recreation,sin información,04/19/2017 10:00:00 AM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Bunny Wonderland,Local Event,Arts/Culture,Play,Tot;#Teens;#Young Adult;#Adults;#Seniors,220.0
Recreation,sin información,04/29/2017 12:00:00 AM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Track & Field trip to Icahn Stadium,Local Event,Sport,Play,Children,39.0
Recreation,sin información,05/08/2017 04:00:00 PM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Video game tournament,Tournament/Competition,Sport,Play,Children;#Teens,22.0
Recreation,sin información,05/31/2017 10:00:00 AM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Open House- Aerobics expo,Open House,Fitness,sin información,Teens;#Young Adult;#Adults;#Seniors,95.0
Recreation,sin información,02/04/2017 10:00:00 AM,Bronx,Recreation Center,West Bronx Recreation Center,Winter Fest Prep,Local Event,Arts/Culture,Play,Teens;#Young Adult;#Children,15.0
Recreation,sin información,02/10/2017 06:00:00 PM,Bronx,Recreation Center,West Bronx Recreation Center,Arts & Crafts / Valentine,Local Event,Arts/Culture,Play,Children,12.0
Recreation,sin información,01/28/2017 06:00:00 PM,Bronx,Recreation Center,St. Mary's Recreation Center,"Arts, Culture & Fun Presents: Talking Inspiration: Oysters (Book presentation & Panel discussion)",Local Event,Arts/Culture,AC&F,General Public,12.0
Recreation,sin información,03/04/2017 10:00:00 AM,Bronx,Recreation Center,St. James Recreation Center,"Arts, Culture & Fun Presents: Talking Inspiration: Women who read are dangerous (Book pres. & Panel discussion)",Local Event,Arts/Culture,AC&F,General Public,10.0
Recreation,sin información,03/01/2017 05:00:00 PM,Bronx,Recreation Center,St. James Recreation Center,Mardi Gras Celebration,Local Event,Arts/Culture,Play,Seniors,9.0
Recreation,sin información,01/14/2017 01:00:00 PM,Brooklyn,Recreation Center,Red Hook Recreation Center,MLK  I Have a Dream  All Star Basketball Game,Tournament/Competition,Sport,Tier 1,Teens;#Young Adult,0.0
Recreation,sin información,03/11/2017 06:00:00 PM,Bronx,Recreation Center,Poe Park Visitor Center,"Arts, Culture & Fun Presents: CITY BIRDS by Elana Amity Art Workshop",Local Event,Arts/Culture,AC&F,General Public,40.0
Recreation,sin información,03/18/2017 06:00:00 PM,Bronx,Recreation Center,Poe Park Visitor Center,"Arts, Culture & Fun Presents: CITY BIRDS by Elana Amity Art Workshop",Local Event,Arts/Culture,AC&F,General Public,20.0
Recreation,sin información,03/25/2017 06:00:00 PM,Bronx,Recreation Center,Poe Park Visitor Center,"Arts, Culture & Fun Presents: CITY BIRDS Book presentation & cottage visit",Local Event,Arts/Culture,AC&F,General Public,20.0
Recreation,sin información,01/06/2017 10:00:00 AM,Bronx,Recreation Center,Owen Dolen Recreation Center,Kwanzaa,Local Event,Arts/Culture,Play,Teens;#Young Adult;#Adults;#Children,50.0
Recreation,sin información,01/13/2017 10:00:00 AM,Bronx,Recreation Center,Owen Dolen Recreation Center,Special Event- Three Kings Ceremony,Local Event,Arts/Culture,Play,Children,21.0
Recreation,sin información,02/25/2017 12:00:00 AM,Bronx,Recreation Center,Owen Dolen Recreation Center,"Arts, Culture & Fun Presents: Make your mark: Graffiti Writing Workshop",Local Event,Arts/Culture,AC&F,Teens;#Adults;#Seniors;#Young Adult,25.0
Recreation,sin información,02/14/2017 09:00:00 AM,Brooklyn,Recreation Center,McCarren Play Center,Tots Valentines Day Brunch,Local Event,Arts/Culture,Play,Tot,95.0
Recreation,sin información,02/23/2017 09:00:00 AM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,FDNY hands on training,Local Event,Sport,Fitness,Young Adult;#Teens;#Adults,55.0
Recreation,sin información,02/28/2018 10:00:00 AM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Puppet show for toddlers,Local Event,Performance,Play,Tot,75.0
Recreation,sin información,02/28/2018 12:00:00 AM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Black history month celebration,Local Event,Arts/Culture,sin información,Children;#Teens,55.0
Recreation,sin información,02/14/2017 01:00:00 PM,Manhattan,Recreation Center,J. Hood Wright Recreation Center,Valentine's Latin Dance,Local Event,Arts/Culture,Dance,Tot;#Children;#Young Adult;#Adults;#Seniors;#Teens,60.0
